first_name,middle_name,last_name,other_authors,title,series,series_num,description,copies,publisher,publish_date,pages,isbn10,isbn13,tags
PC,,Cast,Kristin Cast,Hunted,House of Night,5,"The door closed with a sickening thud of finality, shutting my friends out and leaving me alone with my enemy, a fallen angel, and the monstrous bird creature his ancient lust had created. Then I did something I'd only done twice before in my entire life. I fainted.' It's all happening, though Zoey Redbird wishes it wasn't. She has her friends back, which is great. But a dark angel has taken over the House of Night, supported by High Priestess Neferet. Not so great. This leaves Zoey hiding out with the (supposedly friendly) red fledglings in Tulsa's prohibition-era tunnels. The not greatness continues.

Zoey has some boy-thoughts to distract her, with a chance to make-up with super-hot-ex Eric. But thoughts of the archer that died, semi-permanently, in her arms also keep distracting her. Then he shows up as Neferet's newest minion. Well, hell. Zoey and friends need a plan to put things right, soon, if she's to keep both head and heart intact.",2,Atom Books,,439,190565457X,9781905654574,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Tempted,House of Night,6,"Zoey Redbird, now High Priestess of the shattered House of Night, is doing her best to hold everything together while dealing with her beloved, injured grandmother, her moody boyfriend, her secretive best friend, and the aftermath of the victory over her former mentor and a terrible, beautiful dark angel.

But Neferet and Kalona have only been banished, not defeated, and everyone knows they're heading straight for the Vampyre High Council, where Zoey must follow.

Zoey might be a High Priestess, but she's still just a teenager. And she's the only hope the world has.",1,Atom,2010-04-27,336,1905654588,9781905654581,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Betrayed,House of Night,2,"It seems that (un)life is going pretty well for Zoey Redbird. She's settled in at the House of Night finishing school and is coming to terms with the vast powers the vampyre goddess, Nyx, has given her. She even has a boyfriend ... or two. Best of all, Zoey finally feels she has found somewhere she belongs. Then the unthinkable happens.

Human teenagers are being killed, and all the evidence points to the vampires at Zoey's school. While danger stalks the humans from Zoey's past life, she begins to realise that the very powers that made her so unique might also threaten those she loves. Then, when she needs her new friends the most, death strikes the House of Night. Zoey finds herself facing a betrayal that could break her heart and jeopardise the very fabric of her world.",1,,,,1905654324,9781905654321,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Untamed,House of Night,4,"Life sucks when your friends are pissed at you. Just ask Zoey Redbird - she's become an expert on suckiness. In one week she has gone from having three boyfriends to having none, and from having a close group of friends who trusted and supported her, to being an outcast. Speaking of friends, the only two Zoey has left are undead and unMarked. And Neferet has declared war on humans, which Zoey knows in her heart is wrong. But will anyone listen to her? Zoey's adventures at vampyre finishing school take a wild and dangerous turn as loyalties are tested, shocking true intentions come to light, and an ancient evil is awakened in PC and Kristin Cast's spellbinding fourth House of Night novel.",2,Atom Books,,413,1905654561,9781905654567,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Marked,House of Night,1,"When sixteen-year-old Zoey is marked by the Tracker, she knows her old life is over. Now she has to leave her friends and family to join the House of Night school, where there's only one subject Zoey needs to study: Vampyre 101.

Of course, there's always a catch, and this one's nice and simple: if you fail you die...",1,Atom,,,1905654316,9781905654314,"fantasy,paranormal,romance,vampires,young adult"
PC,,Cast,Kristin Cast,Dragon's Oath,House of Night Novellas,1,"The all-new House of Night Novellas will delve into the backgrounds of some of the Tulsa House of Night's most important - and mysterious - professors. Beginning with Dragon Lankford, DRAGON'S OATH tells the story of the House of Night's formidable fencing instructor and warrior, whose mercy for one beast in the past will come back to haunt him in the future.",1,Atom,2011-07-12,160,1907411186,9781907411182,"fantasy,paranormal,romance,vampires,young adult"
Courttia,,Newland,,Society Within,,,"SOCIETY WITHIN takes us back to the Greenside Estate, West London, scene of Courttia Newland's ground-breaking and hugely successful first novel, THE SCHOLAR. Newly arrived on the estate is Elisha: sweet, bright, sassy and just eighteen. As Elisha negotiates some new territory with more than fair share of dark corners, we take in the vividly interlocking lives of the other Greensiders: cool, ambitious Valerie, with some bad secrets to deal with; Little Stacey, looking for his first girl; Orin, dealing, stealing and trying to stay away from anything too lethal.",1,"Little, Brown Book Group Limited",2000-09-21,320,0349111804,9780349111803,"black authors,urban fiction,young adult"
Mary,E,Pearson,,Adoration of Jenna Fox,Jenna Fox Chronicles,1,"A seventeen-year-old girl wakes from a year-long coma and is told her name is Jenna Fox. She doesn't remember the accident; she doesn't remember her life; she doesn't remember herself. Her parents show her home movies of her past, but is she really the same girl she sees on the screen?",1,Walker,2010-04-05,272,1406323012,9781406323016,"dystopian,sci-fi,young adult"
Philip,,Pullman,,"Butterfly Tattoo, The",,,"The agony and ecstasy of a teenage love affair inspires this tense, romantic thriller. Sixth-former Chris falls in love with Jenny the moment he sets eyes on her as he works at an Oxford ball. But as their relationship blossoms, tragedy and violence wait in the wings. For Chris's boss has a shady past that won't stay hidden. And his ruthless enemies will use two innocent teenagers to exact their revenge on him...",1,Young Picador,2005-09-02,192,0330397966,9780330397964,"romance,thriller,young adult"
Philip,,Pullman,,Ruby in the Smoke,Sally Lockhart,1,"Soon after Sally Lockhart's father drowns at sea, she receives an anonymous letter. The dire warning it contains makes a man die of fear at her feet. Determined to discover the truth about her father's death, Sally is plunged into a terrifying mystery in the dark heart of Victorian London, at the centre of which lies a deadly blood-soaked jewel. Philip Pullman's ever-popular, action-packed Victorian melodramas are rejacketed for the bicentenary of Charles Dickens in 2012.",1,Scholastic Point,2004-02-13,224,0439977789,9780439977784,"historical mystery,mystery,young adult"
Celia,,Rees,,"Wish House, The",,,"In the summer of 1976, on holiday in South Wales, fifteen-year-old Richard is shocked and fascinated to meet the tenants of the historic Wish House. Jay Dalton is a well-known artist, and his large, bohemian family - casually stripping naked on the beach, smoking dope, ignoring convention - seem astonishingly glamorous. Richard falls under the spell of beautiful, free-spirited Clio, Jays daughter. She seduces him in a secret forest grotto, where they spend idyllic days playing out her favourite Celtic myths of brave grail knights and powerful enchantresses. But why does Jay paint so many nudes of Clio? Why is he obsessed with the need to paint Richard? Why does his wife grow poisonous plants in her Witchs Garden? The Daltons dark secrets draw Richard into a world of disturbing relationships, where he discovers, too late, that his innocent arrival at the Wish House was no accident . . .",1,Pan Macmillan,2006-04-07,224,0330436430,9780330436434,"bildungsroman,gothic,music and arts,romance,young adult"
Rainbow,,Rowell,,Kindred Spirits,,,"If you broke Elena's heart, Star Wars would spill out. So when she decides to queue outside her local cinema to see the new movie, she's expecting a celebration with crowds of people who love Han, Luke and Leia just as much as she does. What she's not expecting is to be last in a line of only three people; to have to pee into a collectible Star Wars soda cup behind a dumpster or to meet that unlikely someone who just might truly understand the way she feels. Kindred Spirits is an engaging short story by Rainbow Rowell, author of the bestselling Eleanor & Park, Fangirl and Carry On, and is part of a handful of selected short reads specially produced for World Book Day.",1,Macmillan Children's Books,2016-02-25,96,1509820833,9781509820832,"novella,romance,young adult"
Rainbow,,Rowell,,Fangirl,,,"Cath and Wren are identical twins, and until recently they did absolutely everything together. Now they're off to university and Wren's decided she doesn't want to be one half of a pair any more – she wants to dance, meet boys, go to parties and let loose. It's not so easy for Cath. She's horribly shy and has always buried herself in the fan fiction she writes, where she always knows exactly what to say and can write a romance far more intense than anything she's experienced in real life.

Without Wren Cath is completely on her own and totally outside her comfort zone. She's got a surly room-mate with a charming, always-around boyfriend, a fiction-writing professor who thinks fan fiction is the end of the civilized world, a handsome classmate who only wants to talk about words . . . And she can't stop worrying about her dad, who's loving and fragile and has never really been alone.

Now Cath has to decide whether she's ready to open her heart to new people and new experiences, and she's realizing that there's more to learn about love than she ever thought possible . . .",1,Macmillan Children's Books,2014-01-30,480,1447263227,9781447263227,"bildungsroman,romance,young adult"
Victoria,,Scott,,Fire and Flood,Fire & Flood,1,"Tella's brother is dying. He's got cancer, and Tella is helpless to save him. Or so she thought. When an invitation arrives for Tella to compete in the Brimstone Bleed, a deadly competition that will lead her through treacherous jungle and scorching desert, she doesn't think twice. Because the prize is a cure to any illness. But Tella will be facing more than just the elements.",1,,,369,190948962X,9781909489622,"action,adventure,dystopian,fantasy,sci-fi,young adult"
Gena,,Showalter,,Blacklisted,Young Adult Alien Huntress,2,"Alien hunting can get a girl killed. It can also get her a date. High school senior Camille Robins and her best friend are determined to snag the attention of their crushes before graduation next month. Armed with red-hot outfits and killer hair, they sneak into the hottest nightclub in town -- which caters to the rich and famous, both human and alien. They end up following Erik (who is human) and Silver (who isn't) through a guarded door and are soon separated and under attack...and not the good kind. Bad boy Erik spares Camille's life, but the two are soon being chased by gun-toting Alien Investigation and Removal agents. Camille's more confused than ever because Erik's finally showing real interest in her, but the agents are accusing him of dealing Onadyn -- a drug that ruins human lives. Suddenly, with the heat of his kiss lingering on her lips, Camille has to decide whose side she's on...and whether she's willing to put her life on the line to save Erik's.",1,MTV Books,2007-09-01,240,1416532250,9781416532255,"fantasy,paranormal,romance,sci-fi,young adult"
Sarah,,Singleton,,Century,,,"Mercy and her sister Charity have never questioned their daily routine. They live at night, sleep during the day, and see their widowed father only rarely. Then one day, Mercy is woken to find a snowdrop on her pillow. A sign of spring, and a hint at a possible different future. This novel is about an immortal family living in a twilight world.",1,Simon & Schuster Children's,2004-12-25,224,1416901353,9781416901358,"gothic,horror,mystery,paranormal,young adult"
Meera,,Syal,,Anita and Me,,,"It's 1972. Meena is nine years old and lives in the village of Tollington, 'the jewel of the Black Country'. She is the daughter of Indian parents who have come to England to give her a better life. As one of the few Punjabi inhabitants of her village, her daily struggle for independence is different from most. She wants fishfingers and chips, not chapati and dhal; she wants an English Christmas, not the usual interminable Punjabi festivities - but more than anything, she wants to roam the backyards of working-class Tollington with feisty Anita Rutter and her gang.

Blonde, cool, aloof, outrageous and sassy, Anita is everything Meena thinks she wants to be. Meena wheedles her way into Anita's life, but the arrival of a baby brother, teenage hormones, impending entrance exams for the posh grammar school and a motorcycling rebel without a future, threaten to turn Anita's salad days sour.",1,Flamingo,1997-04-07,336,0006548768,9780006548768,"adapted to screen,bildungsroman,cultural,humour,young adult"
Gene,,Wolfe,,Knight,The Wizard Knight,1,"A teenager passes from Earth to a magical realm of seven worlds, where he is given a hero's adult body and named Able. Though forced to act as a man, inside he is still a boy, even as he sets off to find his destined sword and become a knight.
In his quest he battles giants, meets gods, heroes and a sorceress (who repeatedly tries to seduce him), and serves the mercurial dragon king Arnthor in a was that could end everything.",1,Gollancz,2007-04-12,464,0575080337,9780575080331,"adventure,fantasy,sci-fi,young adult"
LA,,Weatherly,,Angel,Angel,1,"Willow knows she's different from other girls. And not just because she loves tinkering around with cars. Willow has a gift. She can look into people's futures, know their dreams, their hopes and their regrets, just by touching them. She has no idea where she gets this power from... But Alex does. Gorgeous, mysterious Alex knows Willow's secret and is on a mission to stop her. The dark forces within Willow make her dangerous – and irresistible. In spite of himself, Alex finds he is falling in love with his sworn enemy. The first thrilling chapter in the electrifying Angel Trilogy. Angels will never be seen in the same way again.",2,Usborne Publishing Ltd,2010-10-01,506,1409521966,9781409521969,"fantasy,paranormal,romance,young adult"
Malorie,,Blackman,,Boys Don't Cry,Boys Don't Cry,1,"You're waiting for the postman - he's bringing your A level results. University, a career as a journalist - a glittering future lies ahead. But when the doorbell rings it's your old girlfriend; and she's carrying a baby. You're fine to look after it, for an hour or two, while she does some shopping. Then she doesn't come back and your future suddenly looks very different.

Malorie's dramatic new novel will take you on a journey from tears to laughter and back again.",1,Doubleday Children's Books,2010-10-28,320,0385619308,9780385619301,"bildungsroman,black authors,family drama,lgbt,young adult"
Matt,,Haig,,"Radleys, The",,,"Just about everyone knows a family like the Radleys. Many of us grew up next door to one. They are a modern family, averagely content, averagely dysfunctional, living in a staid and quiet suburban English town. Peter is an overworked doctor whose wife, Helen, has become increasingly remote and uncommunicative. Rowan, their teenage son, is being bullied at school, and their anemic daughter, Clara, has recently become a vegan. They are typical, that is, save for one devastating exception: Peter and Helen are vampires and have—for seventeen years—been abstaining by choice from a life of chasing blood in the hope that their children could live normal lives.

One night, Clara finds herself driven to commit a shocking—and disturbingly satisfying—act of violence, and her parents are forced to explain their history of shadows and lies. A police investigation is launched that uncovers a richness of vampire history heretofore unknown to the general public. And when the malevolent and alluring Uncle Will, a practicing vampire, arrives to throw the police off Clara’s trail, he winds up throwing the whole house into temptation and turmoil and unleashing a host of dark secrets that threaten the Radleys’ marriage.

The Radleys is a moving, thrilling, and radiant domestic novel that explores with daring the lengths a parent will go to protect a child, what it costs you to deny your identity, the undeniable appeal of sin, and the everlasting, iridescent bonds of family love. Read it and ask what we grow into when we grow up, and what we gain—and lose—when we deny our appetites.",1,Walker,2010-07-05,352,1406330280,9781406330281,"family drama,fantasy,horror,vampires,young adult"
Robin,,Wasserman,,Skinned,Cold Awakening,1,"Lia Kahn was perfect: rich, beautiful, popular -- until the accident that nearly killed her. Now she has been downloaded into a new body that only looks human. Lia will never feel pain again, she will never age, and she can't ever truly die. But she is also rejected by her friends, betrayed by her boyfriend, and alienated from her old life. Forced to the fringes of society, Lia joins others like her. But they are looked at as freaks. They are hated...and feared. They are everything but human, and according to most people, this is the ultimate crime -- for which they must pay the ultimate price.",1,"Simon & Schuster, Limited",2009-08-06,368,1847385117,9781847385116,"dystopian,sci-fi,young adult"
Douglas,,Glover,,Elle,,,"Imagine a 16th-century society belle turned Robinson Crusoe, a female Don Quixote with an Inuit Sancho Panza, and you'll have an inkling of what's in store in Douglas Glover's outrageously Rabelaisian new novel — his first in ten years. Elle is a lusty, subversive riff on the discovery of the New World, the moment of first contact. Based on a true story, Elle chronicles the ordeals and adventures of a young French woman marooned on the desolate Isle of Demons during Jacques Cartier's ill-fated third and last attempt to colonize Canada. Of course, the plot is only the beginning. The bare outline is a true story: the Sieur de Roberval did abandon his unruly young niece, her lover, and her nurse on the Isle of Demons; her companions and her newborn baby did die; and she was indeed rescued and taken home to France. Beyond that, Glover's Rabelaisian imagination takes over. What with real bears, spirit bears, and perhaps hallucinated bears, with mystified and mystifying Natives, with the residue of a somewhat lurid religious faith, and with a world of self-preserving belligerence, the voluble heroine of Elle does more than survive. Elle brilliantly reinvents the beginnings of this country's history: what Canada meant to the early European adventurers, what these Europeans meant to Canada's original inhabitants, and the terrible failure of the two worlds to recognize each other as human. In a carnal whirlwind of myth and story, of death, lust and love, of beauty and hilarity, Glover brings the past violently and unexpectedly into the present. In Elle, Glover's well-known scatological realism, exuberant violence, and dark, unsettling humour give history a thoroughly modern chill.",1,Goose Lane Editions,2003-05-01,206,0864923155,9780864923158,"cultural,historical fiction,magical realism,young adult"
